suburb,id,lng,lat
Benerembah,145,145.83341969999995,-34.6126213
Bennetts Green,146,151.689275,-32.999351000000004
Bensville,147,151.38155469999995,-33.4988442
Berala,148,151.0324997,-33.8714515
Berambing,149,150.4397962,-33.5371651
Beresfield,150,151.6423455,-32.810686600000004
Bergalia,151,150.10498,-35.981491
Berkeley,152,150.8481641,-34.4658655
Berkeley Vale,153,151.443489,-33.358463
Berkshire Park,154,150.793814,-33.664825
Bermagui,155,150.06678469999997,-36.4458692
Berowra,156,151.1415741,-33.615542299999994
Berowra Creek,157,151.15699819999998,-33.534129
Berowra Heights,158,151.14325449999995,-33.6073384
Berowra Waters,159,151.1207215,-33.5994709
Berrara,160,150.549408,-35.206299
Berridale,161,148.8266878,-36.3656014
Berrigan,162,145.81155619999996,-35.65658
Berrilee,163,151.093124,-33.61718400000001
Berrima,164,150.325976,-34.495827
Berry,165,150.6965482,-34.780984499999995
Bethungra,166,147.855901,-34.760997
Beverley Park,167,151.1355635,-33.9831581
Beverly Hills,168,151.0827844,-33.9514838
Bewong,169,150.53322759999998,-35.0858745
Bexley,170,151.121224,-33.9526544
Bexley North,171,151.11213700000005,-33.944107
Bibbenluke,172,149.28071599999996,-36.81097000000001
Bickley Vale,173,150.665955,-34.070927000000005
Bidwill,174,150.8231396,-33.73261160000001
Bigga,175,149.150909,-34.085056
Bilambil,176,153.4848822,-28.2282846
Bilambil Heights,177,153.485159,-28.215477000000003
Bilbul,178,146.135651,-34.274487
Bilgola Beach,179,151.32679869999996,-33.6456528
Bilgola Plateau,180,151.31652490000005,-33.6427164
Billimari,181,148.6167608,-33.6800789
Billinudgel,182,153.528294,-28.5056411
Bilpin,183,150.575331,-33.51398700000001
Binalong,184,148.63239,-34.6686479
Bingara,185,150.5715803,-29.8689887
Biniguy,186,150.2057803,-29.542775
Binnaway,187,149.3776706,-31.5524407
Binya,188,146.34451299999995,-34.229355
Birchgrove,189,151.18166599999995,-33.851509
Birmingham Gardens,190,151.6817728,-32.8956943
Birrong,191,151.0223701,-33.891018
Black Head,192,152.5382609,-32.068558
Black Hill,193,151.583374,-32.823437
Black Springs,194,149.757206,-33.837988
Blackalls Park,195,151.58417769999997,-32.9910978
Blackbutt,196,150.84165149999995,-34.5694424
Blackett,197,150.816648,-33.737439
Blackheath,198,150.285419,-33.637015000000005
Blackmans Flat,199,150.071945,-33.370377000000005
Blackmans Point,200,152.828198,-31.39108
Blacksmiths,201,151.6501909,-33.0789065
Blacktown,202,150.9120581,-33.7550615
Blackwall,203,151.3317293,-33.505963
Blair Athol,204,150.804932,-34.064365
Blairmount,205,150.803391,-34.048092
Blakebrook,206,153.229996,-28.763645
Blakehurst,207,151.112491,-33.989469
Blaxland,208,150.60955780000003,-33.736884100000005
Blayney,209,149.254054,-33.532764
Bligh Park,210,150.81450759999996,-33.6417204
Blighty,211,145.28765900000005,-35.591927
