suburb_ssc,suburb,suburb_id,Males - Total (no.),Females - Total (no.),Persons - Total (no.),Total population aged 15 years and over (no.),Median Household Weekly Income,Weekly median advertised rent,Non-School Qualifications (no.),Postgraduate Degree (no.),Graduate Diploma/Graduate Certificate (no.),Bachelor Degree (no.),Advanced Diploma/Diploma (no.),Certificate (no.),Labour Force (no.),Employed (no.),Unemployed (no.)
SSC10268,Bellbird,127,993,1039,2032,1577,1175,0,181,13,11,69,106,493,876,804,72
SSC10269,Bellbird Heights,128,364,420,784,629,1368,0,46,3,3,48,55,189,368,341,27
SSC10270,Bellbrook,129,140,130,270,225,740,0,25,4,3,22,18,38,84,76,8
SSC10271,Bellevue Hill,130,5222,5496,10718,8782,2892,1888,967,1097,211,2926,744,615,5662,5466,196
SSC10273,Bellingen,131,1750,2030,3780,2930,1032,420,315,128,84,499,324,599,1543,1437,106
SSC10276,Belmont,132,3453,3662,7115,5994,1040,400,635,128,64,598,499,1505,3094,2852,242
SSC10277,Belmont North,133,3128,3210,6338,5081,1409,0,518,90,64,479,428,1436,3008,2784,224
SSC10278,Belmont South,134,512,544,1056,898,1026,385,81,9,8,51,59,230,484,427,57
SSC10279,Belmore,135,6337,6386,12723,10467,1192,550,1436,457,96,1370,896,1431,5700,5220,480
SSC10283,Belrose,136,4225,4554,8779,7076,2117,998,730,386,155,1340,877,1151,4075,3917,158
SSC10284,Bemboka,137,292,285,577,478,870,0,64,15,12,46,41,104,241,226,15
SSC10285,Ben Bullen,138,58,48,106,82,2041,0,25,0,0,3,3,26,42,42,0
SSC10287,Benandarah,139,94,68,162,145,739,0,42,0,7,6,0,31,48,45,3
SSC10288,Bendalong,140,51,38,89,82,825,0,7,5,0,6,7,26,36,31,5
SSC10289,Bendemeer,141,248,246,494,416,905,0,58,10,10,30,22,88,233,219,14
SSC10290,Bendick Murrell,142,83,73,156,128,924,0,21,3,0,4,12,29,68,65,3
SSC10293,Benerembah,143,66,68,134,86,1218,0,19,0,0,14,4,12,56,53,3
SSC10295,Bennetts Green,144,9,7,16,9,749,0,0,0,0,0,0,3,3,3,0
SSC10297,Bensville,145,1267,1279,2546,1991,1960,0,113,57,50,266,233,538,1386,1326,60
SSC10299,Berala,146,4689,4361,9050,7445,1319,450,930,278,59,1170,587,853,4207,3780,427
SSC10300,Berambing,147,54,50,104,82,1812,0,10,4,3,17,5,23,58,50,8
SSC10301,Beresfield,148,1616,1567,3183,2625,1032,360,244,27,13,117,150,696,1395,1258,137
SSC10302,Bergalia,149,88,85,173,137,1395,0,14,5,3,20,18,33,79,79,0
SSC10303,Berkeley,150,3706,3900,7606,6161,1059,428,741,88,39,344,425,1427,3127,2843,284
SSC10304,Berkeley Vale,151,4008,4341,8349,6635,1397,0,550,88,80,533,617,1909,4186,3916,270
SSC10305,Berkshire Park,152,1337,796,2133,1901,1716,0,1084,11,0,44,61,254,582,557,25
SSC10307,Bermagui,153,744,788,1532,1312,843,0,174,42,31,129,112,328,546,513,33
SSC10308,Berowra,154,2353,2365,4718,3694,2355,628,215,258,102,782,428,724,2642,2537,105
SSC10309,Berowra Creek,155,8,8,16,15,0,0,0,0,0,3,0,4,5,5,0
SSC10310,Berowra Heights,156,2593,2666,5259,4033,2138,0,234,255,118,792,507,894,2860,2764,96
SSC10311,Berowra Waters,157,62,60,122,109,749,0,61,0,0,6,10,11,19,19,0
SSC10313,Berrara,158,144,153,297,254,891,0,26,3,4,18,29,88,118,115,3
SSC10316,Berridale,159,621,574,1195,965,1105,393,109,24,23,73,71,308,592,579,13
SSC10318,Berrigan,160,632,629,1261,1069,880,0,209,7,10,65,71,227,523,489,34
SSC10319,Berrilee,161,121,111,232,187,2143,0,10,10,6,29,27,37,121,114,7
SSC10320,Berrima,162,327,347,674,565,1548,0,75,46,10,108,50,113,319,309,10
SSC10322,Berry,163,1212,1452,2664,2273,1252,530,297,106,52,354,268,434,1032,998,34
SSC10328,Bethungra,164,85,78,163,147,725,0,18,0,0,14,15,35,82,78,4
SSC10330,Beverley Park,165,1202,1197,2399,1923,1819,0,181,96,32,354,204,296,1198,1137,61
SSC10331,Beverly Hills,166,4892,5257,10149,8460,1549,598,826,481,117,1488,768,1180,4884,4551,333
SSC10332,Bewong,167,41,45,86,69,1187,0,10,0,0,0,7,20,37,37,0
SSC10334,Bexley,168,9632,10099,19731,16153,1556,600,2490,860,177,2494,1464,2189,9102,8550,552
SSC10335,Bexley North,169,1994,2104,4098,3352,1570,0,350,168,45,618,328,454,1904,1794,110
SSC10337,Bibbenluke,170,46,44,90,77,1156,0,15,0,0,7,7,10,41,38,3
SSC10340,Bidwill,171,1996,2287,4283,3119,798,330,568,26,5,90,133,433,1212,961,251
SSC10346,Bigga,172,132,114,246,214,866,0,54,5,0,13,10,31,93,89,4
SSC10347,Bilambil,173,212,198,410,338,1346,0,42,10,3,32,25,89,201,182,19
SSC10348,Bilambil Heights,174,1655,1707,3362,2728,1295,0,292,62,43,307,278,713,1603,1501,102
SSC10349,Bilbul,175,292,266,558,416,1442,0,57,3,0,20,22,119,301,292,9
SSC10350,Bilgola Beach,176,120,128,248,203,3277,0,15,26,4,52,34,23,123,119,4
SSC10351,Bilgola Plateau,177,1751,1768,3519,2734,2399,0,169,204,89,626,377,495,1853,1796,57
SSC10354,Billimari,178,76,80,156,126,833,0,31,3,3,16,7,17,56,53,3
SSC10355,Billinudgel,179,111,103,214,184,955,0,28,3,3,19,16,31,98,93,5
SSC10358,Bilpin,180,324,342,666,547,1455,0,74,15,6,49,50,161,339,318,21
SSC10362,Binalong,181,281,264,545,433,1104,0,40,14,12,46,32,91,250,241,9
SSC10365,Bingara,182,680,747,1427,1250,760,0,225,5,6,66,71,241,469,439,30
SSC10369,Biniguy,183,77,71,148,117,1292,0,23,0,0,17,0,18,66,66,0
SSC10372,Binnaway,184,323,287,610,538,710,0,94,3,3,12,28,70,184,155,29
SSC10373,Binya,185,76,61,137,92,1449,0,4,0,3,18,8,12,79,76,3
SSC10374,Birchgrove,186,1548,1756,3304,2668,3225,0,262,462,105,907,230,176,1818,1741,77
SSC10377,Birmingham Gardens,187,1261,1114,2375,2028,1061,0,191,110,17,266,134,343,1036,878,158
SSC10379,Birrong,188,1526,1583,3109,2494,1373,490,305,76,25,311,208,350,1342,1218,124
SSC10384,Black Head,189,386,466,852,783,990,0,86,22,20,106,93,193,280,259,21
SSC10385,Black Hill,190,279,289,568,453,2166,0,41,23,14,70,60,108,263,255,8
SSC10389,Black Springs,191,111,108,219,195,1312,0,33,0,0,12,6,38,89,84,5
SSC10390,Blackalls Park,192,1325,1430,2755,2260,1139,0,186,33,37,177,188,636,1258,1163,95
SSC10391,Blackbutt,193,1570,1732,3302,2730,1373,0,222,63,26,245,238,739,1678,1565,113
SSC10392,Blackett,194,1657,1789,3446,2549,1018,0,435,17,10,98,104,427,1150,1010,140
SSC10393,Blackheath,195,2107,2291,4398,3713,1077,400,370,290,116,707,435,692,1937,1839,98
SSC10394,Blackmans Flat,196,10,18,28,22,1624,0,5,0,0,3,0,10,8,8,0
SSC10395,Blackmans Point,197,87,80,167,155,900,0,27,0,5,11,6,41,59,56,3
SSC10396,Blacksmiths,198,936,911,1847,1568,988,430,149,19,13,126,116,411,815,747,68
SSC10397,Blacktown,199,23761,23411,47172,37515,1459,395,4028,2310,378,5660,3419,5918,22792,20937,1855
SSC10399,Blackwall,200,905,989,1894,1587,1188,375,191,31,30,140,149,378,826,763,63
SSC10400,Blair Athol,201,1444,1433,2877,2237,2206,0,147,91,24,429,236,375,1573,1464,109
SSC10401,Blairmount,202,217,206,423,318,1850,0,37,6,5,38,32,53,202,191,11
SSC10402,Blakebrook,203,71,75,146,122,1083,0,18,4,0,6,4,32,73,69,4
SSC10403,Blakehurst,204,3046,3179,6225,5052,2080,750,421,296,77,1093,540,685,3005,2871,134
SSC10407,Blaxland,205,3606,3843,7449,5944,1814,450,401,398,182,1063,704,1339,3837,3688,149
SSC10410,Blayney,206,1676,1697,3373,2689,1089,295,367,24,26,168,161,674,1531,1410,121
SSC10411,Bligh Park,207,3075,3287,6362,4846,1763,425,275,73,57,365,452,1469,3573,3425,148
SSC10412,Blighty,208,78,68,146,105,955,0,12,0,0,7,9,24,77,77,0
SSC10414,Blue Bay,209,486,541,1027,894,1141,0,111,32,11,89,84,196,473,448,25
SSC10415,Blue Haven,210,3058,3321,6379,4815,1331,393,443,22,29,213,361,1357,2947,2682,265
SSC10416,Blue Knob,211,122,105,227,194,604,0,45,8,5,38,10,37,78,63,15
SSC10420,Blueys Beach,212,100,87,187,156,819,0,23,8,0,19,17,41,67,64,3
SSC10421,Boambee,213,854,810,1664,1362,1557,385,141,41,34,232,131,302,844,800,44
SSC10422,Boambee East,214,2527,2718,5245,4191,1166,0,339,51,58,399,386,1145,2455,2280,175
SSC10425,Boat Harbour,215,478,486,964,763,1481,0,58,26,18,114,92,211,457,440,17
SSC10429,Bobs Farm,216,233,215,448,386,1286,0,53,6,3,35,25,121,221,207,14
SSC10434,Bodalla,217,373,361,734,632,957,0,55,10,7,46,53,180,344,315,29
SSC10438,Bogan Gate,218,167,125,292,223,816,0,51,0,0,10,12,37,103,94,9
SSC10439,Bogangar,219,1531,1535,3066,2438,1280,0,244,58,60,315,206,633,1514,1414,100
SSC10441,Boggabilla,220,487,501,988,733,919,0,152,3,7,44,31,88,300,249,51
SSC10442,Boggabri,221,569,557,1126,914,1162,0,164,3,3,44,44,190,471,439,32
SSC10444,Bohena Creek,222,85,83,168,141,1642,0,29,0,3,7,7,34,96,92,4
SSC10447,Bolivia,223,35,32,67,57,900,0,3,0,0,8,6,13,30,30,0
SSC10449,Bolton Point,224,1010,1115,2125,1726,1009,385,260,27,24,145,129,403,794,689,105
SSC10450,Bolwarra,225,486,501,987,804,1706,0,59,39,12,147,74,204,506,481,25
SSC10451,Bolwarra Heights,226,1481,1493,2974,2246,2147,0,146,79,56,354,274,559,1515,1453,62
SSC10453,Bomaderry,227,3255,3404,6659,5537,927,398,742,81,66,414,468,1412,2602,2407,195
SSC10455,Bombala,228,697,685,1382,1132,1090,280,144,9,10,69,67,261,650,628,22
SSC10457,Bombira,229,176,171,347,272,2166,0,31,9,6,58,29,56,176,173,3
SSC10458,Bombo,230,55,52,107,101,1375,0,19,4,0,9,13,26,52,49,3
SSC10461,Bomen,231,20,8,28,20,2166,0,0,0,4,0,5,7,15,15,0
SSC10463,Bonalbo,232,191,184,375,319,725,0,59,0,9,20,9,70,111,98,13
SSC10464,Bondi,233,4958,5096,10054,8816,2175,1150,1383,922,196,2720,879,849,6105,5859,246
SSC10465,Bondi Beach,234,5831,5824,11655,10369,2253,1180,1877,1162,256,3311,890,844,7225,6955,270
SSC10467,Bondi Junction,235,4530,4907,9437,8262,2026,946,1431,927,200,2415,777,678,5269,5043,226
SSC10468,Bonnells Bay,236,1758,1822,3580,2932,1210,390,265,74,40,263,318,764,1605,1478,127
SSC10469,Bonnet Bay,237,1141,1124,2265,1840,2706,0,107,117,51,390,253,354,1255,1227,28
SSC10470,Bonny Hills,238,1461,1514,2975,2438,1264,430,227,63,43,296,236,690,1304,1239,65
SSC10471,Bonnyrigg,239,4174,4491,8665,6980,1196,478,1083,95,22,601,482,881,3439,3036,403
SSC10472,Bonnyrigg Heights,240,3623,3678,7301,5899,1679,480,707,90,43,635,497,910,3425,3158,267
SSC10474,Bonville,241,1291,1262,2553,2070,1453,0,179,32,37,265,193,560,1223,1154,69
SSC10477,Booker Bay,242,646,676,1322,1174,1002,470,154,21,13,113,99,268,509,477,32
SSC10482,Boolaroo,243,514,524,1038,897,1187,448,71,11,8,59,67,245,542,495,47
SSC10487,Boomerang Beach,244,158,135,293,240,1114,0,34,5,9,27,17,64,133,128,5
SSC10495,Booragul,245,586,694,1280,1060,932,0,92,9,7,70,72,269,490,440,50
SSC10496,Booral,246,202,199,401,333,1406,0,38,6,3,23,21,94,202,191,11
SSC10501,Boorooma,247,417,447,864,658,2078,0,42,29,20,147,54,131,489,482,7
SSC10503,Boorowa,248,834,807,1641,1371,973,0,189,21,9,102,98,299,734,699,35
SSC10512,Boree Creek,249,99,101,200,157,1034,0,15,0,0,9,10,38,89,86,3
SSC10513,Borenore,250,247,214,461,364,1983,0,47,20,11,61,33,84,248,240,8
SSC10515,Bossley Park,251,7220,7361,14581,11995,1511,480,1437,214,71,1223,964,1957,6231,5776,455
SSC10516,Bostobrick,252,75,65,140,111,1024,0,10,0,0,13,9,32,62,55,7
SSC10517,Botany,253,5408,5414,10822,8584,2028,780,1020,510,131,1385,892,1532,5862,5633,229
SSC10520,Bouddi,254,4,3,7,4,0,0,3,0,0,0,0,0,3,3,0
SSC10523,Bourkelands,255,1371,1481,2852,2171,1912,0,154,68,50,306,237,562,1620,1574,46
SSC10524,Bournda,256,82,70,152,120,1104,0,29,4,0,15,8,37,61,61,0
SSC10526,Bow Bowing,257,805,803,1608,1265,1797,0,83,41,3,174,138,246,926,871,55
SSC10528,Bowen Mountain,258,793,784,1577,1204,1724,0,98,45,27,157,135,336,854,812,42
SSC10529,Bowenfels,259,988,1062,2050,1607,787,0,297,12,5,58,72,345,632,534,98
SSC10535,Bowning,260,288,279,567,471,1389,0,61,14,8,44,49,94,290,279,11
SSC10536,Bowral,261,4765,5573,10338,8690,1299,550,946,515,250,1424,1033,1594,4241,4062,179
SSC10537,Bowraville,262,564,557,1121,890,742,0,130,6,9,44,51,204,383,342,41
SSC10539,Box Hill,263,460,442,902,751,1760,0,59,16,3,78,63,190,436,424,12
SSC10543,Bradbury,264,4308,4495,8803,6893,1373,380,685,150,63,577,572,1668,4053,3718,335
SSC10545,Braemar,265,224,220,444,342,1708,0,34,19,3,43,28,97,242,234,8
SSC10547,Braidwood,266,792,863,1655,1336,1091,400,213,67,28,184,103,264,721,685,36
SSC10548,Brandy Hill,267,326,345,671,574,2028,0,55,14,11,77,56,146,378,370,8
SSC10549,Branxton,268,986,1003,1989,1557,1678,350,148,23,20,144,131,443,1003,950,53
SSC10555,Breadalbane,269,49,50,99,72,1624,0,13,3,0,18,3,12,46,46,0
SSC10557,Breakfast Point,270,1947,2240,4187,3602,2175,0,332,399,97,923,426,457,2355,2252,103
SSC10559,Bredbo,271,175,174,349,281,1681,0,50,11,3,26,24,65,189,175,14
SSC10564,Brewongle,272,62,57,119,104,1281,0,20,0,3,8,3,31,54,54,0
SSC10566,Bribbaree,273,75,64,139,118,714,0,19,0,0,3,4,26,65,60,5
SSC10567,Bridgman,274,105,96,201,152,2062,0,12,3,3,10,16,58,110,106,4
SSC10570,Brightwaters,275,446,455,901,749,1333,0,60,21,14,71,89,220,410,380,30
SSC10575,Bringelly,276,1289,1215,2504,2044,1700,0,229,21,20,167,134,511,1262,1197,65
SSC10578,Broadmeadow,277,801,798,1599,1311,1288,415,108,65,30,252,112,268,902,824,78
SSC10579,Broadwater,278,61,61,122,91,1275,0,11,0,3,5,6,28,47,47,0
SSC10583,Brocklehurst,279,190,172,362,280,1196,0,36,3,4,21,22,70,168,161,7
SSC10587,Brogans Creek,280,5,3,8,10,0,0,0,0,0,0,0,4,0,0,0
SSC10589,Brogo,281,264,239,503,435,977,0,48,14,12,56,38,111,236,217,19
SSC10590,Broke,282,300,282,582,438,1662,0,89,9,4,36,25,108,229,217,12
SSC10591,Broken Head,283,137,139,276,229,1395,0,24,17,4,52,24,46,132,128,4
SSC10594,Bronte,284,3333,3397,6730,5386,2671,1335,584,718,152,1687,484,557,3765,3631,134
SSC10599,Brooklyn,285,381,343,724,632,1631,550,61,42,10,101,61,132,412,396,16
SSC10601,Brookvale,286,1571,1588,3159,2699,1822,790,242,160,47,572,305,504,1959,1884,75
SSC10608,Broulee,287,803,914,1717,1438,1002,450,178,46,45,208,130,327,662,635,27
SSC10609,Brownlow Hill,288,187,234,421,338,2299,0,22,46,8,49,24,67,190,179,11
SSC10612,Brownsville,289,288,244,532,471,875,0,41,4,6,25,25,124,232,204,28
SSC10613,Brucedale,290,86,87,173,144,2200,0,13,8,3,25,7,46,103,103,0
SSC10617,Brundee,291,26,25,51,37,1187,0,7,0,0,3,0,17,28,28,0
SSC10621,Brunswick Heads,292,821,924,1745,1504,844,650,221,52,32,200,148,319,743,684,59
SSC10628,Buchanan,293,95,101,196,165,1812,0,27,6,4,15,8,40,99,93,6
SSC10629,Buckajo,294,157,140,297,248,1363,0,35,3,3,23,17,73,172,161,11
SSC10637,Buddabadah,295,25,29,54,40,2416,0,4,0,0,4,7,8,31,31,0
SSC10641,Budgee Budgee,296,94,102,196,158,1687,0,18,0,0,19,15,55,100,97,3
SSC10642,Budgewoi,297,1669,1691,3360,2789,1029,350,323,35,36,173,216,777,1453,1333,120
SSC10645,Buff Point,298,1747,1761,3508,2863,1104,390,330,25,15,166,214,811,1475,1349,126
SSC10646,Bugaldie,299,74,69,143,121,664,0,20,0,0,12,7,25,57,53,4
SSC10649,Bulahdelah,300,732,693,1425,1234,780,350,175,13,15,60,64,262,548,504,44
SSC10651,Bulga,301,176,185,361,283,1553,0,49,9,0,32,19,60,162,152,10
SSC10656,Bullaburra,302,616,612,1228,995,1389,0,77,57,34,163,128,232,597,574,23
SSC10658,Bullarah,303,64,47,111,100,1424,0,28,0,0,10,7,10,71,71,0
SSC10662,Bulli,304,2970,3138,6108,4719,1896,593,377,325,141,763,501,1059,3070,2935,135
SSC10663,Bulliac,305,23,25,48,37,1125,0,6,0,0,3,3,3,21,21,0
SSC10666,Bumbaldry,306,56,47,103,92,966,0,18,0,0,5,10,22,43,37,6
SSC10669,Bundagen,307,73,59,132,114,478,0,17,5,0,26,12,19,53,46,7
SSC10670,Bundanoon,308,1283,1447,2730,2353,1107,0,266,120,65,362,273,522,1082,1037,45
SSC10671,Bundarra,309,333,341,674,556,773,0,91,6,8,30,42,122,248,224,24
SSC10672,Bundeena,310,921,996,1917,1579,1614,600,121,130,50,256,185,368,972,929,43
SSC10676,Bundook,311,56,44,100,85,732,0,13,0,0,4,0,28,39,32,7
SSC10682,Bungarribee,312,1346,1290,2636,1886,2560,0,114,281,38,567,184,174,1419,1354,65
SSC10684,Bungendore,313,2101,2083,4184,3194,2514,0,318,246,108,449,386,691,2319,2251,68
SSC10685,Bungonia,314,182,191,373,308,1025,0,45,12,0,24,19,69,175,157,18
SSC10687,Bungwahl,315,122,113,235,187,941,0,18,7,6,18,12,55,98,90,8
SSC10696,Buronga,316,617,597,1214,947,1149,0,140,10,12,81,96,223,570,531,39
SSC10700,Burraboi,317,30,32,62,49,1312,0,3,0,0,3,3,19,39,39,0
SSC10701,Burradoo,318,1248,1391,2639,2259,1733,0,257,157,61,476,290,321,952,918,34
SSC10705,Burraneer,319,1766,1825,3591,2881,2860,1125,225,167,67,622,352,474,1930,1888,42
SSC10708,Burrawang,320,177,186,363,293,1375,0,19,21,7,45,38,77,173,169,4
SSC10709,Burrell Creek,321,112,106,218,190,1031,0,26,7,3,15,20,47,102,98,4
SSC10710,Burren Junction,322,153,125,278,214,1014,0,29,0,3,18,10,43,128,124,4
SSC10712,Burrill Lake,323,728,738,1466,1228,864,0,137,18,12,85,104,329,549,523,26
SSC10713,Burringbar,324,409,441,850,707,1165,0,92,15,13,61,55,163,402,373,29
SSC10717,Burrundulla,325,69,74,143,113,1906,0,19,0,0,10,14,28,67,67,0
SSC10718,Burwood,326,7670,8359,16029,14462,1398,650,1565,1667,198,3568,1232,943,7982,7187,795
SSC10719,Burwood Heights,327,440,544,984,818,1863,0,116,62,9,166,58,101,460,438,22
SSC10720,Busby,328,2107,2179,4286,3212,1026,360,617,28,9,157,190,487,1371,1180,191
SSC10722,Bushells Ridge,329,4,7,11,18,724,0,3,0,0,0,0,3,4,4,0
SSC10723,Buttaba,330,558,537,1095,881,1435,0,54,25,10,105,85,259,512,480,32
SSC10724,Buttai,331,28,29,57,42,2249,0,0,3,0,10,5,12,36,36,0
SSC10726,Buxton,332,1024,1005,2029,1525,1787,410,131,20,13,86,135,490,1080,1024,56
SSC10727,Byabarra,333,160,169,329,262,1454,0,23,7,7,32,19,76,154,149,5
SSC10730,Bylong,334,8,9,17,23,1562,0,9,3,0,4,3,4,16,16,0
SSC10733,Byron Bay,335,2683,2841,5524,4841,1197,780,1121,182,98,857,438,788,2491,2352,139
SSC10735,Bywong,336,668,651,1319,1069,2450,0,103,104,49,214,105,182,720,703,17
SSC10736,Cabarita,337,960,1000,1960,1648,2559,1100,130,166,49,416,183,214,996,968,28
SSC10737,Cabarita Beach,338,48,53,101,81,1083,0,3,0,0,10,5,11,54,45,9
SSC10740,Cabramatta,339,10633,11152,21785,17880,968,400,3318,229,63,1454,1032,1665,8761,7447,1314
SSC10741,Cabramatta West,340,3516,3708,7224,5799,1189,400,924,69,20,468,319,637,2892,2542,350
SSC10742,Cabramurra,341,20,13,33,33,0,0,11,0,0,3,3,9,18,18,0
SSC10743,Caddens,342,726,754,1480,1154,2190,0,111,73,11,184,114,238,714,659,55
SSC10748,Calala,343,1956,1977,3933,3000,1520,0,249,75,69,337,319,760,1949,1874,75
SSC10750,Calderwood,344,100,77,177,140,1895,0,20,6,0,18,11,45,96,92,4
SSC10751,Caldwell,345,18,16,34,30,1042,0,0,0,0,6,0,5,21,18,3
SSC10755,Callaghan,346,593,734,1327,1326,0,0,67,9,3,49,41,91,665,460,205
SSC10757,Callala Bay,347,1100,1094,2194,1843,1024,370,160,31,26,152,187,505,894,825,69
SSC10758,Callala Beach,348,407,395,802,689,897,0,112,20,7,60,52,185,276,251,25
SSC10763,Cambewarra,349,119,119,238,202,1937,0,23,13,0,42,21,46,134,134,0
SSC10764,Cambewarra Village,350,594,601,1195,915,1875,0,65,34,36,150,110,225,625,605,20
SSC10767,Cambridge Gardens,351,986,1034,2020,1576,1766,0,122,31,15,108,126,479,1093,1038,55
SSC10768,Cambridge Park,352,3329,3397,6726,5316,1429,380,549,91,29,347,387,1317,3299,3085,214
SSC10770,Camden,353,1523,1709,3232,2656,1379,420,388,88,52,316,240,586,1561,1490,71
SSC10771,Camden Head,354,78,76,154,125,900,0,12,6,4,23,13,32,50,47,3
SSC10772,Camden Park,355,1062,1172,2234,1658,2776,0,92,64,29,245,217,395,1257,1233,24
SSC10773,Camden South,356,2224,2315,4539,3561,1812,0,202,123,64,469,379,980,2370,2288,82
SSC10775,Cameron Park,357,3891,4099,7990,5845,2103,510,465,190,77,694,550,1609,4252,4054,198
SSC10778,Cammeray,358,3283,3721,7004,5725,2361,1150,489,722,228,1995,611,514,4167,4021,146
SSC10780,Campbelltown,359,6131,6442,12573,10338,1206,380,1313,369,109,1121,849,1991,5662,5188,474
SSC10781,Camperdown,360,4996,5349,10345,9623,1796,750,1046,1259,270,2995,673,589,6438,5971,467
SSC10782,Campsie,361,12319,12219,24538,20799,1239,540,2569,1378,215,3622,1879,1924,12114,10986,1128
SSC10783,Campvale,362,25,14,39,41,1124,0,4,0,0,0,6,5,26,26,0
SSC10784,Cams Wharf,363,63,74,137,117,1524,0,6,0,7,13,10,26,69,65,4
SSC10785,Canada Bay,364,617,623,1240,1005,1989,0,90,67,19,197,113,165,645,608,37
SSC10786,Canadian Lead,365,3,9,12,8,0,0,3,0,0,0,0,0,3,3,0
SSC10788,Candelo,366,337,351,688,548,1029,0,56,11,18,69,64,123,324,305,19
SSC10789,Cangai,367,17,20,37,31,1375,0,5,0,0,4,0,3,11,11,0
SSC10791,Canley Heights,368,5340,5630,10970,8832,1260,450,1277,95,27,788,527,1037,4537,4003,534
SSC10792,Canley Vale,369,5027,5194,10221,8290,1053,410,1322,135,35,786,504,885,4084,3522,562
SSC10793,Canobolas,370,237,237,474,393,1875,0,37,18,13,81,41,78,275,267,8
SSC10794,Canoelands,371,96,85,181,133,1937,0,18,3,3,15,16,33,95,95,0
SSC10796,Canowindra,372,1094,1163,2257,1817,920,0,213,26,19,172,138,392,986,934,52
SSC10797,Canterbury,373,3566,3668,7234,6118,1503,580,700,485,95,1179,582,804,3886,3647,239
SSC10798,Canton Beach,374,563,611,1174,1030,673,0,178,0,4,31,65,217,284,255,29
SSC10802,Capertee,375,75,68,143,120,756,0,24,0,0,3,13,41,57,54,3
SSC10804,Captains Flat,376,326,287,613,480,1388,0,59,21,5,49,49,122,305,285,20
SSC10806,Caragabal,377,93,97,190,140,1286,0,25,3,0,21,10,27,84,84,0
SSC10808,Carcoar,378,148,156,304,267,833,0,40,6,0,31,13,60,127,119,8
SSC10809,Cardiff,379,2875,2953,5828,4721,1231,400,399,112,67,484,371,1279,2861,2642,219
SSC10810,Cardiff Heights,380,687,759,1446,1215,1468,0,137,54,16,199,105,258,676,640,36
SSC10811,Cardiff South,381,1359,1471,2830,2260,1386,0,156,43,27,207,191,657,1447,1364,83
SSC10812,Carey Bay,382,383,513,896,776,1206,0,105,27,12,103,64,155,309,289,20
SSC10813,Cargo,383,302,295,597,444,1433,0,43,6,4,32,45,124,278,268,10
SSC10815,Caringbah,384,5608,6054,11662,9490,1568,700,906,369,181,1397,1120,2107,6221,5996,225
SSC10816,Caringbah South,385,6029,6210,12239,9736,2180,750,758,418,231,1703,1148,2077,6240,6047,193
SSC10818,Carlingford,386,11989,12405,24394,19812,1833,605,1576,2194,418,4798,1962,2228,11826,11051,775
SSC10819,Carlton,387,5377,5344,10721,8907,1600,575,892,690,141,1777,882,1119,5574,5219,355
SSC10820,Carnes Hill,388,1008,1035,2043,1447,2309,0,99,65,15,292,184,251,1046,1000,46
SSC10822,Carool,389,97,75,172,141,1281,0,15,3,0,13,11,36,86,79,7
SSC10823,Caroona,390,109,90,199,159,939,0,18,0,0,7,7,30,82,71,11
SSC10826,Carramar,391,1758,1786,3544,2897,926,0,606,69,5,267,222,397,1358,1183,175
SSC10830,Carrington,392,980,948,1928,1658,1402,0,158,101,41,341,131,331,1092,1011,81
SSC10832,Carroll,393,180,161,341,253,1196,0,46,0,5,14,17,59,140,130,10
SSC10834,Carrs Creek,394,64,65,129,109,1199,0,16,0,0,8,4,27,64,56,8
SSC10837,Carss Park,395,605,650,1255,1012,1779,0,76,75,15,231,105,157,579,547,32
SSC10838,Cartwright,396,1193,1179,2372,1861,740,388,375,24,0,81,96,267,721,614,107
SSC10839,Cartwrights Hill,397,106,83,189,152,1625,0,20,7,0,12,8,43,93,87,6
SSC10841,Carwoola,398,756,671,1427,1185,2630,0,123,99,42,178,111,263,763,741,22
SSC10843,Casino,399,5251,5662,10913,8715,875,320,1168,49,47,405,427,2008,3962,3598,364
SSC10844,Cassilis,400,157,149,306,242,1101,0,26,3,3,18,18,53,160,154,6
SSC10845,Castle Cove,401,1274,1277,2551,2028,2797,1000,164,268,58,620,193,161,1181,1140,41
SSC10846,Castle Doyle,402,84,73,157,135,1625,0,5,16,3,25,16,29,94,94,0
SSC10847,Castle Hill,403,19153,20440,39593,31881,2219,650,2618,3061,737,7659,3491,4180,20293,19267,1026
SSC10849,Castlecrag,404,1458,1480,2938,2279,3799,0,163,338,64,762,200,169,1438,1364,74
SSC10850,Castlereagh,405,598,572,1170,942,1910,750,109,11,3,91,88,234,586,575,11
SSC10851,Casuarina,406,1335,1348,2683,1968,1913,0,214,89,65,405,248,377,1344,1292,52
SSC10852,Casula,407,7635,8028,15663,12292,1584,485,1501,424,123,1605,1183,2095,7130,6595,535
SSC10853,Catalina,408,1128,1206,2334,1964,921,0,300,34,20,112,133,448,815,743,72
SSC10856,Catherine Field,409,871,785,1656,1351,1799,0,229,13,8,102,85,302,795,768,27
SSC10857,Catherine Hill Bay,410,80,77,157,136,1416,0,16,6,8,16,3,32,74,67,7
SSC10858,Cathundral,411,27,21,48,25,1187,0,3,0,0,4,7,7,20,20,0
SSC10859,Cattai,412,396,392,788,628,2013,0,65,19,7,68,61,185,429,416,13
SSC10862,Caves Beach,413,1950,2102,4052,3361,1407,475,254,95,71,416,325,847,1867,1746,121
