suburb_ssc,suburb,suburb_id,Males - Total (no.),Females - Total (no.),Persons - Total (no.),Total population aged 15 years and over (no.),Median Household Weekly Income,Weekly median advertised rent,Non-School Qualifications (no.),Postgraduate Degree (no.),Graduate Diploma/Graduate Certificate (no.),Bachelor Degree (no.),Advanced Diploma/Diploma (no.),Certificate (no.),Labour Force (no.),Employed (no.),Unemployed (no.)
SSC11530,Five Dock,750,4441,4915,9356,7611,2077,755,870,589,193,1619,773,1073,4935,4716,219
SSC11533,Fletcher,751,2555,2578,5133,3653,2296,523,214,200,66,589,371,901,2751,2596,155
SSC11534,Flinders,752,3293,3387,6680,5085,1783,550,419,130,69,537,545,1399,3447,3249,198
SSC11535,Floraville,753,923,935,1858,1430,1848,0,79,35,20,210,152,385,935,895,40
SSC11536,Forbes,754,4183,4244,8427,6752,1033,280,1012,70,65,488,435,1498,3552,3339,213
SSC11539,Forbesdale,755,96,83,179,138,1275,0,14,0,0,11,9,34,82,78,4
SSC11542,Forest Glen,756,40,29,69,50,1749,0,7,0,0,4,5,18,40,40,0
SSC11546,Forest Lodge,757,2219,2366,4585,4099,2143,900,408,692,128,1378,311,262,2832,2662,170
SSC11548,Forestville,758,4025,4301,8326,6425,2151,850,484,522,167,1474,688,917,3955,3811,144
SSC11549,Forresters Beach,759,1417,1482,2899,2322,1520,510,203,98,51,356,267,554,1394,1334,60
SSC11550,Forster,760,6511,7230,13741,11807,868,430,1613,177,145,949,961,2794,4745,4368,377
SSC11554,Fountaindale,761,352,354,706,573,2293,0,41,22,12,95,60,141,367,354,13
SSC11558,Foxground,762,69,80,149,129,1458,0,19,12,6,25,10,30,77,77,0
SSC11561,Frederickton,763,637,754,1391,1123,1003,0,138,4,5,46,64,285,525,482,43
SSC11564,Freemans Reach,764,1010,969,1979,1568,1885,0,122,27,19,137,149,426,1074,1039,35
SSC11565,Freemans Waterhole,765,54,45,99,88,634,0,11,4,0,4,5,24,53,43,10
SSC11567,French Park,766,13,15,28,18,1812,0,3,0,0,0,0,7,16,16,0
SSC11568,Frenchs Forest,767,6680,6793,13473,10307,2514,875,628,793,233,2350,1291,1676,7012,6730,282
SSC11569,Freshwater,768,4369,4499,8868,7025,2268,1350,615,596,189,1909,852,1114,5128,4985,143
SSC11572,Frogs Hollow,769,62,52,114,88,1125,0,8,0,0,6,6,34,44,41,3
SSC11575,Fullerton Cove,770,288,278,566,521,1082,0,85,8,6,38,45,138,181,170,11
SSC11580,Galong,771,130,95,225,169,814,0,27,3,0,18,15,39,94,87,7
SSC11582,Galston,772,1527,1605,3132,2537,1798,650,197,134,51,438,311,561,1553,1498,55
SSC11585,Ganmain,773,383,397,780,611,935,0,83,7,5,37,33,130,296,261,35
SSC11587,Garden Suburb,774,939,970,1909,1578,1856,0,184,90,37,258,140,322,960,912,48
SSC11594,Gateshead,775,1519,1621,3140,2470,926,0,251,20,10,108,140,615,1219,1083,136
SSC11598,Gemalla,776,10,12,22,13,1625,0,0,0,3,5,0,0,13,13,0
SSC11601,Georges Hall,777,4385,4658,9043,7043,1464,550,940,197,55,761,602,1308,3754,3537,217
SSC11602,Georges Plains,778,129,119,248,203,1625,0,51,4,4,16,19,55,109,101,8
SSC11603,Georgetown,779,926,1027,1953,1610,1381,0,116,66,28,285,137,351,1038,958,80
SSC11605,Gerogery,780,292,276,568,433,1510,0,45,6,4,52,39,129,295,286,9
SSC11606,Gerringong,781,1895,2074,3969,3218,1496,555,403,147,95,532,369,690,1779,1718,61
SSC11607,Gerroa,782,336,339,675,587,1448,0,98,30,14,112,59,87,302,289,13
SSC11608,Geurie,783,379,375,754,589,1218,0,72,14,8,47,55,187,366,347,19
SSC11615,Gidginbung,784,29,36,65,48,1468,0,6,0,0,3,3,16,28,28,0
SSC11617,Gilead,785,169,245,414,414,782,0,177,3,3,21,26,59,50,50,0
SSC11618,Gilgai,786,357,361,718,588,944,0,100,0,0,25,27,159,303,275,28
SSC11619,Gilgandra,787,1509,1615,3124,2539,914,260,391,27,11,152,121,563,1258,1168,90
SSC11624,Gillieston Heights,788,1559,1591,3150,2339,1712,0,188,48,24,203,199,737,1623,1529,94
SSC11631,Girards Hill,789,624,694,1318,1103,1002,0,117,43,44,178,101,232,584,519,65
SSC11632,Girilambone,790,53,48,101,83,1437,0,14,0,0,3,4,16,55,52,3
SSC11634,Girral,791,33,23,56,47,1624,0,0,0,0,4,0,12,32,32,0
SSC11636,Girraween,792,2848,2739,5587,4200,1779,480,388,533,74,864,359,468,2538,2352,186
SSC11638,Gladesville,793,5682,6148,11830,9651,1922,700,880,899,243,2364,1062,1269,6361,6091,270
SSC11639,Gladstone,794,178,205,383,322,892,0,47,3,3,20,14,63,152,133,19
SSC11641,Glebe,795,5383,6153,11536,10465,1579,850,1522,1441,276,2855,777,807,6285,5864,421
SSC11642,Gledswood Hills,796,13,14,27,22,900,0,3,0,0,3,0,12,8,8,0
SSC11645,Glen Alpine,797,2275,2278,4553,3764,2440,580,269,161,70,534,423,795,2655,2529,126
SSC11649,Glen Innes,798,2926,3226,6152,5013,833,250,774,67,46,343,363,1099,2401,2202,199
SSC11652,Glen Oak,799,174,173,347,289,1694,0,41,3,3,24,30,96,180,170,10
SSC11656,Glenbrook,800,2507,2544,5051,4066,2094,0,278,328,143,895,470,763,2650,2557,93
SSC11657,Glencoe,801,95,93,188,159,1047,0,30,0,0,14,10,35,84,76,8
SSC11658,Glendale,802,1501,1602,3103,2503,1204,375,189,41,24,245,193,706,1424,1304,120
SSC11659,Glendenning,803,2541,2585,5126,3771,1906,420,284,182,44,627,389,640,2659,2467,192
SSC11664,Glenfield,804,4718,4915,9633,7539,1757,475,943,696,99,1282,678,1183,4754,4379,375
SSC11665,Glenfield Park,805,2503,2730,5233,4062,1395,0,388,59,38,382,300,1100,2721,2582,139
SSC11667,Glenhaven,806,3157,3347,6504,5304,2259,750,396,312,132,1133,677,879,3259,3135,124
SSC11670,Glenmore Park,807,11155,11854,23009,17369,2213,490,1119,642,257,2210,1908,3927,13154,12635,519
SSC11671,Glennies Creek,808,16,19,35,30,1291,0,3,0,0,3,0,7,19,19,0
SSC11672,Glenning Valley,809,957,1057,2014,1611,1888,0,118,47,25,208,170,418,1099,1054,45
SSC11673,Glenorie,810,1729,1762,3491,2803,1991,0,303,118,42,428,248,615,1797,1747,50
SSC11674,Glenquarry,811,110,118,228,166,1625,0,17,7,0,38,16,32,113,113,0
SSC11675,Glenreagh,812,466,436,902,698,995,0,98,7,5,44,51,194,343,311,32
SSC11676,Glenridding,813,136,121,257,219,945,0,23,0,0,6,7,57,115,105,10
SSC11680,Glenthorne,814,119,114,233,196,900,0,39,0,3,14,25,53,90,86,4
SSC11682,Glenwood,815,7983,8148,16131,12386,2476,600,739,1171,198,2808,1251,1700,8932,8390,542
SSC11684,Glossodia,816,1430,1393,2823,2147,1910,0,196,32,32,162,181,739,1569,1522,47
SSC11685,Gloucester,817,1399,1580,2979,2462,848,345,275,15,26,166,185,587,1098,1005,93
SSC11689,Gobbagombalin,818,235,239,474,367,2138,0,35,13,4,62,39,117,286,280,6
SSC11693,Gol Gol,819,779,746,1525,1150,1527,0,109,21,24,117,114,299,757,733,24
SSC11696,Gongolgon,820,21,13,34,36,537,0,0,0,0,4,3,6,21,17,4
SSC11698,Goobarragandra,821,37,31,68,58,1350,0,6,3,3,9,3,14,28,28,0
SSC11704,Googong,822,1332,1359,2691,2010,2813,0,200,122,55,371,262,393,1509,1477,32
SSC11705,Goolgowi,823,218,181,399,320,1197,0,32,3,3,20,17,75,208,208,0
SSC11708,Goolmangar,824,95,91,186,149,1215,0,14,4,7,17,8,36,98,94,4
SSC11711,Goonellabah,825,5997,6902,12899,10472,1096,400,1216,215,154,1232,789,2584,5758,5358,400
SSC11712,Goonengerry,826,187,180,367,303,846,0,42,19,4,58,34,58,169,151,18
SSC11718,Gordon,827,3658,4001,7659,6284,2313,963,589,987,167,2057,486,397,3788,3564,224
SSC11720,Gormans Hill,828,353,437,790,656,881,0,154,8,15,53,35,138,287,263,24
SSC11721,Gorokan,829,4080,4288,8368,6857,989,350,917,65,50,357,448,1752,3374,3060,314
SSC11722,Gosford,830,1855,1649,3504,3104,1203,0,438,153,38,558,273,592,1940,1751,189
SSC11724,Gostwyck,831,14,14,28,23,2250,0,0,0,0,3,0,5,18,18,0
SSC11725,Goulburn,832,11220,11200,22420,18360,1155,360,2882,348,244,1376,1527,4262,10171,9471,700
SSC11731,Grabben Gullen,833,135,122,257,212,956,0,46,6,4,6,15,61,109,105,4
SSC11733,Grafton,834,5010,5405,10415,8524,956,360,1361,104,100,660,571,1997,4153,3792,361
SSC11735,Grahamstown,835,32,26,58,54,1125,0,8,0,0,5,3,8,30,30,0
SSC11738,Granville,836,8066,7267,15333,12462,1332,460,1831,976,133,2138,1129,1293,7301,6518,783
SSC11739,Grasmere,837,883,1084,1967,1715,1401,0,339,38,30,169,134,359,764,747,17
SSC11740,Grassy Head,838,45,36,81,73,900,0,13,3,0,9,5,22,40,40,0
SSC11743,Grays Point,839,1551,1570,3121,2497,2557,750,145,176,78,487,299,564,1761,1703,58
SSC11744,Great Mackerel Beach,840,19,21,40,36,725,0,4,3,0,12,3,5,17,17,0
SSC11752,Green Pigeon,841,85,77,162,131,714,0,19,4,3,13,12,36,70,65,5
SSC11753,Green Point,842,3032,3368,6400,5290,1324,570,446,157,102,682,577,1163,3022,2842,180
SSC11756,Green Valley,843,6126,6384,12510,9878,1572,470,1181,146,62,987,803,1561,5702,5228,474
SSC11757,Greenacre,844,12107,12268,24375,18446,1184,550,2562,637,150,2052,1442,2583,9026,8229,797
SSC11760,Greenethorpe,845,123,119,242,193,956,0,50,0,0,20,16,37,87,81,6
SSC11761,Greenfield Park,846,2543,2546,5089,4098,1489,430,500,70,23,437,343,546,2103,1924,179
SSC11762,Greengrove,847,10,11,21,15,3499,0,3,4,0,3,0,0,6,6,0
SSC11763,Greenhill,848,364,366,730,560,879,0,113,3,7,28,32,115,205,189,16
SSC11769,Greenwell Point,849,639,572,1211,1088,876,0,147,12,18,66,72,284,462,432,30
SSC11770,Greenwich,850,2690,2918,5608,4676,2555,1100,429,738,150,1593,409,327,3072,2936,136
SSC11774,Gregory Hills,851,2519,2467,4986,3679,2343,0,311,146,40,556,426,851,2751,2649,102
SSC11775,Greigs Flat,852,82,69,151,115,1221,0,6,3,0,11,9,42,64,64,0
SSC11776,Grenfell,853,1279,1293,2572,2167,841,0,286,21,19,148,124,486,1022,962,60
SSC11777,Gresford,854,128,114,242,203,1192,0,36,3,3,9,22,45,102,98,4
SSC11778,Greta,855,1445,1386,2831,2114,1412,350,194,17,16,99,112,686,1319,1205,114
SSC11779,Greta Main,856,38,27,65,59,2062,0,6,0,0,0,6,28,34,31,3
SSC11781,Greystanes,857,11224,11583,22807,18089,1608,500,1794,593,191,2282,1611,3555,10693,10068,625
SSC11782,Griffith,858,8971,9225,18196,14420,1287,360,2381,237,152,1222,885,2909,8484,8028,456
SSC11784,Grong Grong,859,123,125,248,194,1218,0,34,0,4,15,12,44,129,125,4
SSC11785,Grose Vale,860,639,621,1260,1031,2128,0,69,45,22,151,114,282,678,663,15
SSC11786,Grose Wold,861,323,313,636,524,2239,0,49,14,16,45,57,131,329,319,10
SSC11790,Guildford,862,11315,11014,22329,17074,1120,450,2544,573,103,1844,1410,2398,8352,7425,927
SSC11791,Guildford West,863,2424,2494,4918,3758,1388,455,466,90,18,364,306,655,2092,1928,164
SSC11792,Gulargambone,864,295,295,590,475,788,0,116,0,7,19,12,73,191,166,25
SSC11794,Gulgong,865,1246,1272,2518,1971,1086,0,326,16,11,107,115,495,1028,939,89
SSC11800,Gumly Gumly,866,165,141,306,249,1375,0,32,0,0,11,17,76,143,140,3
SSC11803,Gundagai,867,823,854,1677,1382,1022,290,205,13,12,101,87,292,725,693,32
SSC11805,Gundaroo,868,585,566,1151,870,2493,0,70,96,47,187,101,152,615,603,12
SSC11808,Gunderman,869,102,95,197,173,1194,0,53,4,0,17,13,28,69,65,4
SSC11812,Gunnedah,870,4785,4946,9731,7664,1270,350,1027,108,82,604,492,1838,4427,4179,248
SSC11813,Gunning,871,330,330,660,521,1493,0,60,10,22,55,47,131,317,300,17
SSC11815,Gunningbland,872,45,35,80,59,1062,0,4,0,0,7,3,23,38,38,0
