suburb_id,suburb,post,industry,count
226,Boggabri,2382,Coffee shop,2
227,Bohena Creek,2390,Coffee shop,0
228,Bolivia,2372,Coffee shop,0
229,Bolton Point,2283,Coffee shop,0
230,Bolwarra,2320,Coffee shop,1
231,Bolwarra Heights,2320,Coffee shop,0
232,Bomaderry,2541,Coffee shop,5
233,Bombala,2632,Coffee shop,1
234,Bombira,2850,Coffee shop,0
235,Bombo,2533,Coffee shop,0
236,Bomen,2650,Coffee shop,1
237,Bonalbo,2469,Coffee shop,0
238,Bondi,2026,Coffee shop,9
239,Bondi Beach,2026,Coffee shop,34
240,Bondi Junction,2022,Coffee shop,49
241,Bonnells Bay,2264,Coffee shop,2
242,Bonnet Bay,2226,Coffee shop,1
243,Bonny Hills,2445,Coffee shop,3
244,Bonnyrigg,2177,Coffee shop,7
245,Bonnyrigg Heights,2177,Coffee shop,2
246,Bonville,2450,Coffee shop,2
247,Booker Bay,2257,Coffee shop,0
248,Boolaroo,2284,Coffee shop,1
249,Boomerang Beach,2428,Coffee shop,1
250,Booragul,2284,Coffee shop,1
251,Booral,2425,Coffee shop,1
252,Boorooma,2832,Coffee shop,0
253,Boorowa,2586,Coffee shop,4
254,Boree Creek,2652,Coffee shop,0
255,Borenore,2800,Coffee shop,0
256,Bossley Park,2176,Coffee shop,2
257,Bostobrick,2453,Coffee shop,0
258,Botany,2019,Coffee shop,13
259,Bouddi,2251,Coffee shop,0
260,Bourke,2840,Coffee shop,0
261,Bourkelands,2650,Coffee shop,0
262,Bournda,2550,Coffee shop,0
263,Bow Bowing,2566,Coffee shop,0
264,Bowen Mountain,2753,Coffee shop,0
265,Bowenfels,2790,Coffee shop,1
266,Bowning,2582,Coffee shop,1
267,Bowral,2576,Coffee shop,32
268,Bowraville,2449,Coffee shop,2
269,Box Hill,2765,Coffee shop,0
270,Bradbury,2560,Coffee shop,0
271,Braemar,2575,Coffee shop,0
272,Braidwood,2622,Coffee shop,10
273,Brandy Hill,2324,Coffee shop,0
