suburb,id
Junee,1014
Kahibah,1015
Kalaru,1016
Kamarah,1017
Kanahooka,1018
Kandos,1019
Kangaloon,1020
Kangaroo Valley,1021
Kangy Angy,1022
Kanwal,1023
Kapooka,1024
Karaak Flat,1025
Karabar,1026
Kareela,1027
Kariong,1028
Karuah,1029
Katoomba,1030
Kearns,1031
Kearsley,1032
Keepit,1033
Keerrong,1034
Keiraville,1035
Kellyville,1036
Kellyville Ridge,1037
Kelso,1038
Kembla Grange,1039
Kembla Heights,1040
Kemps Creek,1041
Kempsey,1042
Kendall,1043
Kensington,1044
Kenthurst,1045
Kentlyn,1046
Kentucky,1047
Kentucky South,1048
Kerrabee,1049
Kerrs Creek,1050
Khancoban,1051
Kiama,1052
Kiama Downs,1053
Kiama Heights,1054
Kianga,1055
Kiar,1056
Kilaben Bay,1057
Kilgra,1058
Killara,1059
Killarney Heights,1060
Killarney Vale,1061
Killawarra,1062
Killcare,1063
Killcare Heights,1064
Killimicat,1065
Killingworth,1066
Kinchela,1067
Kincumber,1068
Kincumber South,1069
King Creek,1070
Kingfisher Shores,1071
Kings Langley,1072
Kings Park,1073
Kings Plains,1074
Kings Point,1075
Kingscliff,1076
Kingsford,1077
Kingsgrove,1078
Kingsvale,1079
Kingswood,1080
Kioloa,1081
Kirkham,1082
Kirrawee,1083
Kirribilli,1084
Kiwarrak,1085
Klori,1086
Knockrow,1087
Kogarah,1088
Kogarah Bay,1089
Koolewong,1090
Koolkhan,1091
Koonawarra,1092
Koonorigan,1093
Kooragang,1094
Koorawatha,1095
Kooringal,1096
Kootingal,1097
Koraleigh,1098
Korora,1099
Kotara,1100
Kotara South,1101
Krambach,1102
Kulnura,1103
Kundabung,1104
Kungala,1105
Kunghur,1106
Kurmond,1107
Kurnell,1108
Kurraba Point,1109
Kurrajong,1110
Kurrajong Heights,1111
Kurrajong Hills,1112
Kurri Kurri,1113
Kyalite,1114
Kyeemagh,1115
Kyle Bay,1116
Kyogle,1117
La Perouse,1118
Laffing Waters,1119
Laggan,1120
Laguna,1121
Lake Albert,1122
Lake Bathurst,1123
Lake Cargelligo,1124
Lake Cathie,1125
Lake Conjola,1126
Lake Cowal,1127
Lake George,1128
Lake Haven,1129
Lake Heights,1130
Lake Illawarra,1131
Lake Munmorah,1132
Lake Tabourie,1133
Lakemba,1134
Lakesland,1135
Lakewood,1136
Lalor Park,1137
Lambton,1138
Lane Cove,1139
Lane Cove North,1140
Lane Cove West,1141
Langley Vale,1142
Lanitza,1143
Lansdowne,1144
Lansvale,1145
Lapstone,1146
Largs,1147
Laughtondale,1148
Laurel Hill,1149
Laurieton,1150
Lavender Bay,1151
Lavington,1152
Lawson,1153
Leconfield,1154
Leeton,1155
Leichhardt,1156
Lemon Tree,1157
Lemon Tree Passage,1158
Len Waters Estate,1159
Lennox Head,1160
Leonay,1161
Leppington,1162
Lethbridge Park,1163
Leumeah,1164
Leura,1165
Lewisham,1166
Lidcombe,1167
Lidsdale,1168
Lightning Ridge,1169
Lilli Pilli,1170
Lillian Rock,1171
Lilyfield,1172
Limbri,1173
Limeburners Creek,1174
Limekilns,1175
Linden,1176
Lindendale,1177
Lindfield,1178
Linley Point,1179
Lisarow,1180
Lismore,1181
Lismore Heights,1182
Liston,1183
Lithgow,1184
Little Bay,1185
Little Hartley,1186
Little Pelican,1187
Little Plain,1188
Liverpool,1189
Llanarth,1190
Llandilo,1191
Llangothlin,1192
Lloyd,1193
Lochinvar,1194
Lockhart,1195
Loftus,1196
Loftville,1197
