suburb_id,suburb,postcode,name,types,rating,user_ratings_total,lng,lat,formatted_address
24,Albion Park,2527,Niu's Kitchen,restaurant,3,31,150.7736376,-34.5710978,"157 Tongarra Rd, Albion Park NSW 2527, Australia"
24,Albion Park,2527,Oporto Albion Park Drive Thru,restaurant,4.2,468,150.7892455,-34.5526414,"47 Princes Hwy, Albion Park NSW 2527, Australia"
24,Albion Park,2527,Tongarra Chickens,restaurant,3.2,16,150.7728778,-34.5707185,"154 Tongarra Rd, Albion Park NSW 2527, Australia"
24,Albion Park,2527,McDonald's Albion Park Rail,restaurant,3.4,2121,150.803021,-34.567227,"251 Princes Hwy, Albion Park NSW 2527, Australia"
25,Albion Park Rail,2527,Ready Set Play,restaurant,4.4,103,150.8161269,-34.5733316,"2/10 Shaban St, Albion Park Rail NSW 2527, Australia"
25,Albion Park Rail,2527,7-Eleven Albion Park Rail,restaurant,3.7,13,150.7936141,-34.5589467,"138 Princes Hwy, Albion Park Rail NSW 2527, Australia"
25,Albion Park Rail,2527,Leong Ho Cafe,restaurant,4.4,75,150.7962975,-34.5610492,"5/179 Princes Hwy, Albion Park Rail NSW 2527, Australia"
25,Albion Park Rail,2527,The Golden Loy,restaurant,4.4,187,150.796989,-34.561963,"193 Princes Hwy, Albion Park Rail NSW 2527, Australia"
25,Albion Park Rail,2527,Subway Albion Park Rail,restaurant,3.8,18,150.7894287,-34.5530776,"Unit 1/61 Princes Hwy, Albion Park Rail NSW 2527, Australia"
25,Albion Park Rail,2527,Sneaky Burger,restaurant,4.3,493,150.7905162,-34.5543733,"Albion Park Rail NSW 2527, Australia"
25,Albion Park Rail,2527,Sams Kebab,restaurant,4.6,35,150.8034395,-34.56777,"255 Princes Hwy, Albion Park Rail NSW 2527, Australia"
25,Albion Park Rail,2527,Rivulet Takeaway,restaurant,4.3,15,150.7868323,-34.5484391,"1/6 Rivulet Cres, Albion Park Rail NSW 2527, Australia"
25,Albion Park Rail,2527,Taco Bell Albion Park Rail,restaurant,4.3,4,150.789609,-34.553902,"2/61 Princes Hwy, Albion Park Rail NSW 2527, Australia"
25,Albion Park Rail,2527,K & K Pizza,restaurant,3.4,9,150.8014237,-34.5664934,"2/245 Princes Hwy, Albion Park Rail NSW 2527, Australia"
25,Albion Park Rail,2527,Burgos Place,restaurant,5,1,150.8164653,-34.5749638,"3/33-37 Durgadin Dr, Albion Park Rail NSW 2527, Australia"
26,Albury,2640,Albury Kebab Restaurant,restaurant,3.7,71,146.9214362,-36.0816662,"449B Dean St, Albury NSW 2640, Australia"
26,Albury,2640,The Bended Elbow,restaurant,4.3,970,146.919599,-36.081006,"480 Dean St, Albury NSW 2640, Australia"
26,Albury,2640,Green Zebra,restaurant,4.2,176,146.919312,-36.0809636,"484 Dean St, Albury NSW 2640, Australia"
26,Albury,2640,La Tierra Restaurant,restaurant,3.4,16,146.9165631,-36.0827248,"524 Smollett St, Albury NSW 2640, Australia"
26,Albury,2640,Sweethearts Pizza,restaurant,4.3,207,146.9200569,-36.0813654,"471 Dean St, Albury NSW 2640, Australia"
26,Albury,2640,Zed Bar,restaurant,4.1,244,146.91492,-36.0804458,"586 Dean St, Albury NSW 2640, Australia"
26,Albury,2640,Chopstix House,restaurant,4.4,49,146.9165819,-36.08189,"8/11 Volt Ln, Albury NSW 2640, Australia"
26,Albury,2640,As Thick As Thieves,restaurant,4.6,124,146.9218847,-36.0817625,"441 Dean St, Albury NSW 2640, Australia"
26,Albury,2640,Hog's Australia's Steakhouse Albury,restaurant,3.7,393,146.9125645,-36.080756,"493 Townsend St, Albury NSW 2640, Australia"
