Label,Males - Total (no.),Females - Total (no.),Persons - Total (no.),Median Household Weekly Income,Non-School Qualifications (%),Postgraduate Degree (%),Graduate Diploma/Graduate Certificate (%),Bachelor Degree (%),Advanced Diploma/Diploma (%),Certificate (%),Non-School Qualifications - Inadequately described (%),Employed (no.),Unemployed (no.),Labour Force (no.),Unemployment rate (%),Participation rate (%),Not in the Labour Force (%),Labour Force Status not stated (%),Total population aged 15 years and over (no.),Weekly median advertised rent
Auburn,7650,6038,13689,616,46.4,5.6,0.8,14.2,7.5,8.4,9.8,4649,674,5324,12.3,53.4,40.0,6.5,9943,470
Austinmer,5899,6055,11954,1156,72.6,10.2,3.8,21.8,10.8,18.4,7.5,5504,255,5759,4.4,64.0,31.4,4.7,9000,730
Austral,4718,4405,9123,782,48.4,1.1,0.5,6.9,5.9,21.0,13.0,3851,212,4063,5.2,56.0,35.3,8.6,7261,530
Avalon,6410,6631,13041,1237,69.1,6.6,2.7,22.0,13.1,16.6,8.1,6116,242,6358,3.8,62.9,32.6,4.4,10101,0
Avoca Beach,3929,3804,7733,1043,68.8,4.8,2.7,18.8,12.5,22.2,7.7,3630,213,3843,5.5,67.0,28.7,4.5,5738,600
Avondale,11960,12563,24523,730,53.2,1.5,1.1,6.7,7.8,27.5,8.6,9656,801,10457,7.7,54.9,40.7,4.4,19047,450
Awaba,6680,7088,13768,747,58.2,3.1,1.3,10.7,8.6,24.2,10.3,5288,454,5742,7.9,50.9,43.3,5.7,11288,0
Badgerys Creek,23,39,62,767,48.1,0.0,0.0,0.0,5.8,9.6,26.9,20,0,20,0.0,38.5,48.1,9.6,52,0
Balgowlah,10451,11069,21520,1612,73.3,10.3,3.2,30.2,11.0,10.9,7.9,9916,369,10285,3.6,66.8,28.6,4.6,15391,1015
Balgownie,10985,11298,22283,790,60.5,5.7,1.9,14.6,9.3,20.7,8.3,9030,708,9738,7.3,55.2,40.2,4.6,17636,500
Ballina,8537,9506,18043,670,59.1,2.0,1.6,10.6,8.6,22.2,14.1,6346,440,6786,6.5,45.8,44.7,9.5,14801,500
Balmain,8254,8944,17198,1797,78.9,15.7,3.9,31.3,8.9,7.9,11.2,8376,347,8723,4.0,67.3,23.6,9.1,12952,865
Bangalow,3072,3168,6240,838,70.6,5.1,2.4,19.5,11.5,17.1,15.2,2582,130,2712,4.8,58.9,29.6,11.6,4603,675
Banksia,11421,10716,22137,903,62.6,8.6,1.2,21.2,9.1,10.7,11.7,10103,791,10894,7.3,63.4,29.2,7.5,17182,600
Banksmeadow,14,7,21,0,42.9,0.0,0.0,14.3,0.0,19.0,14.3,15,0,15,0.0,71.4,0.0,0.0,21,0
Bankstown,8577,8678,17255,619,51.2,4.8,0.8,14.3,8.5,11.4,11.4,5771,703,6474,10.9,51.4,40.2,8.4,12591,500
Banora Point,7544,8528,16072,698,53.8,1.4,1.3,8.3,9.0,23.8,10.1,6221,419,6640,6.3,50.3,44.6,5.1,13195,570
Bardwell Park,6687,6882,13569,904,56.0,5.2,1.5,17.7,10.0,14.3,7.3,5752,342,6094,5.6,58.9,36.8,4.3,10350,720
Bardwell Valley,13287,12904,26191,1006,64.1,10.0,1.6,23.3,9.2,10.4,9.6,10990,781,11771,6.6,63.7,29.5,6.7,18470,0
Bargo,3047,2918,5965,868,55.9,1.5,1.0,6.3,8.6,29.4,9.2,2718,125,2843,4.4,62.8,31.7,5.7,4524,450
Barnsley,3351,3417,6768,807,53.7,1.2,0.8,5.8,7.1,32.0,6.9,3006,234,3240,7.2,62.7,33.3,4.0,5166,0
Bass Hill,11756,11808,23564,656,47.5,2.4,0.7,9.5,8.1,16.6,10.3,7683,738,8421,8.8,49.8,44.7,5.5,16922,560
Bateau Bay,10780,11841,22621,755,57.0,1.6,1.0,8.9,8.6,25.6,11.2,9330,631,9961,6.3,55.8,37.4,6.8,17856,455
Batemans Bay,4030,4212,8242,639,57.6,2.0,1.8,8.0,7.8,24.0,14.2,2701,245,2946,8.3,43.3,47.7,9.1,6809,375
Bathurst,9146,9254,18400,827,59.8,2.6,1.8,11.2,8.0,24.2,11.8,7674,515,8189,6.2,59.4,33.9,6.8,13997,340
Baulkham Hills,11432,11719,23152,1179,67.6,9.9,2.2,23.0,11.2,15.0,6.2,10893,578,11472,5.0,67.4,29.8,2.8,17033,560
Bayview,5587,5731,11318,1197,69.2,6.5,2.2,19.9,12.4,17.3,11.0,5019,165,5184,3.2,58.9,34.8,6.3,8797,1100
Beacon Hill,7339,7492,14831,1035,62.0,4.7,1.8,16.9,10.8,19.3,8.6,6746,251,6997,3.6,63.1,32.3,4.6,11094,875
Beaconsfield,20784,19467,40251,1176,69.2,11.5,1.9,25.6,8.1,9.0,13.0,17051,1279,18330,7.0,60.6,29.2,10.2,30235,890
Beaumont Hills,13878,13950,27828,1290,64.5,6.9,1.9,21.0,11.4,17.4,5.9,11849,519,12368,4.2,73.6,23.2,3.2,16803,620
Bega,4380,4417,8797,663,60.8,2.5,2.2,11.1,8.2,24.0,12.8,3594,208,3802,5.4,53.6,38.8,7.7,7093,350
Belfield,10074,10173,20247,737,51.2,4.2,1.0,13.7,8.9,14.1,9.3,7987,623,8610,7.2,55.5,39.0,5.5,15510,550
Bella Vista,10641,11025,21666,1240,67.0,9.7,2.2,23.7,11.7,14.5,5.2,10591,574,11165,5.1,69.2,28.5,2.4,16144,740
Bellambi,7752,8246,15998,748,57.8,3.2,1.5,11.0,9.2,24.0,8.8,6596,520,7116,7.3,56.0,39.3,4.8,12718,440
Bellevue Hill,12756,14242,26998,1853,76.3,12.7,2.6,32.4,8.6,6.7,13.3,12832,433,13265,3.3,62.3,27.5,10.2,21296,1888
Bellingen,2874,3161,6035,648,67.5,4.4,2.8,17.2,11.1,21.3,10.9,2256,176,2432,7.2,53.2,40.1,6.6,4568,420
Belmont,9010,9293,18303,788,58.8,1.9,1.3,10.6,8.7,27.0,9.2,7657,565,8222,6.9,56.7,38.3,5.0,14496,400
Belmont South,2806,2924,5730,671,53.4,1.2,1.0,7.4,7.7,27.2,9.1,2241,206,2447,8.4,51.4,43.9,4.6,4758,385
Belmore,10074,10173,20247,737,51.2,4.2,1.0,13.7,8.9,14.1,9.3,7987,623,8610,7.2,55.5,39.0,5.5,15510,550
Belrose,13019,13356,26375,1248,66.6,6.8,2.3,21.4,12.5,16.3,7.3,12145,493,12638,3.9,64.1,32.2,3.6,19702,998
Bennetts Green,9010,9293,18303,788,58.8,1.9,1.3,10.6,8.7,27.0,9.2,7657,565,8222,6.9,56.7,38.3,5.0,14496,0
Berala,5072,4520,9592,687,47.1,3.8,0.8,15.7,7.9,11.4,7.4,3694,415,4109,10.1,56.3,39.9,3.8,7304,450
Beresfield,4178,4315,8493,654,45.6,0.8,0.5,4.3,5.6,24.7,9.8,3185,404,3589,11.3,52.7,41.6,5.7,6810,360
Berkeley,7251,7405,14656,625,47.9,1.3,0.6,5.9,7.1,22.4,10.6,5007,519,5526,9.4,49.7,44.6,5.7,11108,428
Bermagui,4485,4713,9198,594,61.3,2.4,2.1,9.9,8.4,23.9,14.6,2841,177,3018,5.9,38.5,52.8,8.7,7834,0
Berowra,6091,6002,12093,1150,68.6,6.9,2.8,19.8,11.7,21.1,6.3,6169,243,6412,3.8,70.1,26.8,3.0,9142,628
Berrara,2270,2206,4476,537,54.1,1.1,0.9,5.3,6.5,28.6,11.8,1226,100,1326,7.5,34.4,60.0,5.7,3858,0
Berridale,3906,3267,7173,906,68.4,3.1,1.7,12.7,9.8,28.2,12.6,3899,73,3972,1.8,69.6,21.2,9.2,5709,393
Berrima,5105,5400,10505,780,59.6,3.4,1.9,11.3,8.8,23.7,10.5,4283,163,4446,3.7,55.7,38.1,6.2,7986,0
Berry,4471,4650,9121,747,66.6,4.4,2.3,14.0,10.4,22.0,13.4,3452,107,3559,3.0,47.1,44.9,7.9,7553,530
Beverly Hills,7202,7515,14717,784,54.9,5.8,1.2,17.3,9.0,12.8,8.7,5962,491,6453,7.6,56.4,39.1,4.4,11439,598
Bexley,14248,14214,28462,867,58.5,6.7,1.2,17.8,9.4,12.9,10.5,12204,862,13066,6.6,60.1,33.2,6.7,21753,600
Bidwill,9236,9732,18968,597,41.8,1.1,0.3,4.9,5.3,16.8,13.2,5760,872,6632,13.1,48.1,42.9,9.0,13786,330
Bilgola,6930,7029,13959,1239,70.6,6.6,2.6,22.6,13.7,18.6,6.7,6910,236,7146,3.3,67.4,29.1,3.5,10603,0
Bilpin,1435,1355,2790,843,67.3,3.4,1.7,9.5,8.7,25.6,18.1,1214,69,1283,5.4,57.2,28.6,14.0,2243,0
Birrong,11221,11173,22394,642,47.0,2.9,0.7,11.6,7.8,14.5,9.5,7532,804,8336,9.6,51.4,42.6,6.0,16214,490
Blackheath,2838,2960,5798,723,69.2,7.0,3.2,18.2,11.1,19.4,10.3,2304,137,2441,5.6,52.2,40.5,7.2,4677,400
Blacksmiths,2806,2924,5730,671,53.4,1.2,1.0,7.4,7.7,27.2,9.1,2241,206,2447,8.4,51.4,43.9,4.6,4758,430
Blacktown,8527,8266,16793,828,56.1,5.7,1.0,14.8,9.1,16.8,8.7,7120,604,7724,7.8,61.3,33.6,5.1,12590,395
Blackwall,7009,7460,14469,686,55.6,2.7,1.4,9.2,8.3,22.0,11.9,5289,474,5763,8.2,48.8,44.3,6.8,11801,375
Blakehurst,12664,13038,25702,930,60.9,8.9,1.4,22.1,10.1,11.4,7.0,11248,850,12098,7.0,60.2,36.0,3.8,20107,750
Blaxland,9630,9907,19537,1109,69.1,7.0,3.5,19.4,11.6,21.2,6.5,9529,382,9911,3.9,65.6,30.8,3.6,15108,450
Blayney,3667,3685,7352,767,57.8,1.9,1.5,9.5,7.4,24.9,12.5,3235,200,3435,5.8,59.6,33.1,7.4,5760,295
Bligh Park,7673,7964,15637,912,54.0,1.9,1.0,7.6,8.1,27.2,8.3,7632,407,8039,5.1,66.3,28.5,5.1,12120,425
Blue Haven,5525,5890,11415,697,48.7,0.5,0.5,4.3,6.7,27.6,9.1,4551,468,5019,9.3,59.3,36.0,4.7,8461,393
Boambee,9644,10338,19982,695,58.5,2.1,1.7,11.0,8.9,25.3,9.6,8004,689,8693,7.9,54.9,39.7,5.5,15841,385
Bolton Point,4241,4442,8683,710,55.8,1.6,1.3,7.9,7.7,26.2,11.1,3315,385,3700,10.4,52.4,40.4,7.2,7065,385
Bomaderry,7918,8293,16211,721,61.2,2.3,1.9,10.1,9.9,25.6,11.4,6446,390,6836,5.7,53.1,40.1,6.9,12881,398
Bombala,1234,1181,2415,704,50.8,1.1,0.8,8.1,6.6,22.3,12.1,1067,50,1117,4.5,56.1,36.4,7.4,1991,280
Bondi,10022,10126,20148,1577,78.1,11.7,2.4,31.2,9.5,9.7,13.8,10413,406,10819,3.8,69.4,20.1,10.5,15587,1150
Bondi Beach,11791,11878,23669,1582,78.9,10.7,2.6,32.5,8.8,8.8,15.4,11873,455,12328,3.7,70.3,17.4,12.4,17544,1180
Bondi Junction,8867,9747,18614,1452,76.4,11.2,2.4,29.3,8.7,8.4,16.2,8633,370,9003,4.1,62.8,24.4,12.8,14331,946
Bonnells Bay,4494,4747,9241,754,60.6,2.8,1.6,9.9,10.5,27.4,8.5,3596,295,3891,7.6,54.9,41.1,4.0,7092,390
Bonny Hills,8675,9160,17835,609,58.5,1.6,1.3,8.3,8.5,26.6,12.2,5492,453,5945,7.6,41.4,51.9,6.7,14367,430
Bonnyrigg,8355,8502,16857,679,39.7,1.4,0.5,9.6,7.6,13.9,6.7,6197,668,6865,9.7,53.3,43.0,3.7,12883,478
Bonnyrigg Heights,8355,8502,16857,679,39.7,1.4,0.5,9.6,7.6,13.9,6.7,6197,668,6865,9.7,53.3,43.0,3.7,12883,480
Booker Bay,11918,12754,24672,705,57.0,2.5,1.2,8.7,8.8,23.9,11.9,9178,775,9953,7.8,50.4,42.6,6.9,19735,470
Boolaroo,6582,7159,13741,849,60.6,3.1,1.8,13.3,10.0,24.1,8.3,6103,408,6511,6.3,58.8,37.0,4.3,11080,448
Bossley Park,9894,9889,19783,822,46.7,2.0,0.7,11.1,8.6,17.2,7.2,8074,558,8632,6.5,55.7,40.3,4.0,15498,480
Botany,6286,6153,12439,1168,63.1,5.9,1.5,16.1,10.4,17.8,11.3,5633,229,5862,3.9,68.2,23.4,8.4,8592,780
Bourke,2042,2019,4061,735,53.7,1.2,0.6,7.3,6.5,15.2,22.9,1414,149,1563,9.5,50.9,33.1,16.0,3072,250
Bowral,6231,7228,13459,890,66.7,6.1,2.8,17.3,12.2,17.5,10.8,4972,205,5177,4.0,47.4,46.7,5.8,10929,550
Bradbury,9652,10233,19885,772,50.4,1.8,0.8,7.1,7.9,23.2,9.6,7685,752,8437,8.9,58.1,35.8,6.1,14512,380
Braidwood,2091,2058,4149,719,66.9,5.3,2.4,12.8,8.5,21.3,16.5,1646,73,1719,4.2,53.4,35.2,11.7,3222,400
Branxton,5526,5491,11017,966,59.7,1.6,1.2,8.8,8.3,29.4,10.4,4775,293,5068,5.8,64.8,28.7,6.6,7824,350
Brewarrina,2042,2019,4061,735,53.7,1.2,0.6,7.3,6.5,15.2,22.9,1414,149,1563,9.5,50.9,33.1,16.0,3072,0
Broadmeadow,6269,6179,12448,878,64.0,5.8,2.6,19.6,8.6,17.8,9.6,5674,465,6139,7.6,61.2,32.3,6.5,10034,415
Broken Hill,8651,9083,17734,648,51.3,1.3,1.2,6.0,5.4,23.0,14.3,6902,668,7570,8.8,51.3,41.2,7.6,14767,260
Bronte,10022,10126,20148,1577,78.1,11.7,2.4,31.2,9.5,9.7,13.8,10413,406,10819,3.8,69.4,20.1,10.5,15587,1335
Brooklyn,6091,6002,12093,1150,68.6,6.9,2.8,19.8,11.7,21.1,6.3,6169,243,6412,3.8,70.1,26.8,3.0,9142,550
Brookvale,11526,11550,23076,1423,72.4,8.3,2.5,25.8,11.5,15.3,8.9,11778,384,12162,3.2,72.0,21.8,6.2,16881,790
Broulee,1722,1748,3470,713,64.4,2.7,3.3,12.6,9.1,23.6,13.2,1235,56,1291,4.3,46.3,45.8,8.0,2789,450
Brunswick Heads,4143,4621,8764,685,67.4,3.6,2.5,14.9,11.3,21.8,13.4,3454,294,3748,7.8,54.8,35.9,9.2,6835,650
Bucca,2001,2014,4015,752,64.2,2.5,1.8,10.2,9.6,27.7,12.3,1735,116,1851,6.3,60.4,31.5,8.4,3065,0
Budgewoi,4836,4899,9735,649,54.3,1.0,0.8,5.8,7.8,28.0,11.0,3585,344,3929,8.8,50.5,43.3,6.2,7779,350
Buff Point,4836,4899,9735,649,54.3,1.0,0.8,5.8,7.8,28.0,11.0,3585,344,3929,8.8,50.5,43.3,6.2,7779,390
Bulahdelah,2397,2370,4767,610,52.3,1.4,1.0,6.4,7.5,24.1,12.1,1857,141,1998,7.1,50.4,42.8,6.9,3962,350
Bulli,10144,10792,20936,948,64.0,5.3,2.5,14.4,10.4,23.1,8.2,9070,443,9513,4.7,60.6,34.8,4.6,15693,593
Bundeena,12675,12674,25349,1210,69.2,5.1,2.2,16.9,12.1,22.4,10.6,12938,447,13385,3.3,66.7,26.0,7.3,20062,600
Buronga,3134,3016,6150,691,54.0,0.9,1.2,7.2,6.9,21.6,16.2,2377,168,2545,6.6,52.8,36.8,10.4,4817,0
Burraneer,4080,4251,8331,1282,66.8,4.7,2.0,19.0,13.0,20.0,7.9,4096,103,4199,2.5,67.7,28.5,3.7,6198,1125
Burwood,13209,13850,27059,875,61.4,11.1,1.7,24.0,8.5,7.9,8.2,11332,1070,12402,8.6,57.3,37.4,5.3,21644,650
Busby,8999,9295,18294,491,40.5,0.9,0.3,4.2,5.7,14.4,15.1,4522,767,5289,14.5,40.2,49.1,10.6,13142,360
Buxton,8857,8977,17834,909,59.2,2.4,1.3,8.2,8.7,27.3,11.3,7892,412,8304,5.0,62.8,30.1,7.1,13216,410
Byron Bay,5056,5455,10511,845,72.1,4.4,2.3,19.1,9.6,17.4,19.2,4307,267,4574,5.8,56.1,27.8,16.1,8147,780
Cabarita,11435,12271,23706,1239,65.1,8.3,2.3,22.1,10.3,14.5,7.7,10817,477,11294,4.2,62.7,32.8,4.6,18005,1100
Cabramatta,12900,12973,25873,549,34.8,1.3,0.4,8.3,5.9,9.9,9.0,8578,1425,10003,14.2,49.3,45.4,5.3,20280,400
Cabramatta West,9082,9245,18327,613,39.7,1.3,0.4,8.0,6.6,14.6,8.9,6150,784,6934,11.3,50.9,43.2,5.9,13630,400
Calga,2564,2374,4938,893,62.0,2.8,1.4,11.2,9.7,23.1,13.9,2249,85,2334,3.6,59.0,31.1,9.8,3955,0
Callala Bay,1871,1860,3731,608,60.1,2.1,1.3,8.7,8.8,26.7,12.2,1261,98,1359,7.2,43.8,48.9,7.0,3104,370
Cambridge Park,8071,8054,16125,915,51.7,1.8,0.7,6.8,7.7,26.7,7.9,7747,442,8189,5.4,66.3,29.2,4.6,12357,380
Camden,6488,6954,13442,1040,62.5,3.3,1.9,12.6,10.1,24.5,10.1,6258,212,6470,3.3,62.4,32.5,5.1,10375,420
Cameron Park,7408,7850,15258,886,55.9,2.0,1.0,8.8,8.2,27.9,8.0,6708,388,7096,5.5,65.3,29.9,4.8,10864,510
Cammeray,9711,10929,20640,1727,79.9,13.9,3.7,33.9,10.7,8.2,9.5,10848,423,11271,3.8,70.3,22.9,6.8,16032,1150
Campbelltown,10171,10150,20321,807,55.3,3.5,1.1,11.9,8.7,19.3,10.8,7877,669,8546,7.8,58.0,35.4,6.6,14735,380
Camperdown,13934,14421,28355,1335,72.4,12.8,3.1,31.5,7.0,7.3,10.7,14582,948,15530,6.1,68.4,22.5,9.1,22709,750
Campsie,16987,16605,33592,722,52.6,6.5,1.1,16.8,9.0,10.4,8.9,13768,1296,15064,8.6,58.3,36.0,5.7,25835,540
Canley Heights,10984,11037,22021,588,35.7,1.4,0.3,9.1,6.1,11.3,7.5,7384,1086,8470,12.8,50.4,44.9,4.7,16822,450
Canley Vale,10984,11037,22021,588,35.7,1.4,0.3,9.1,6.1,11.3,7.5,7384,1086,8470,12.8,50.4,44.9,4.7,16822,410
Canterbury,11362,11265,22627,895,58.0,7.6,1.9,19.0,9.3,11.9,8.5,9545,782,10327,6.7,61.3,33.0,5.7,17266,580
Cardiff,11829,12255,24084,867,59.5,3.3,1.7,12.7,8.7,25.5,7.7,10899,773,11672,6.6,61.9,34.1,4.0,18851,400
Caringbah,6117,6484,12601,1015,63.6,3.9,1.9,14.8,11.8,22.2,9.1,6048,225,6273,3.6,65.5,29.2,5.3,9573,700
Caringbah South,6262,6443,12705,1188,64.8,4.3,2.3,17.5,11.9,21.3,7.4,5973,192,6165,3.1,64.1,32.6,3.4,9611,750
Carlingford,15027,15341,30368,1004,65.8,11.2,2.3,24.5,10.0,11.3,6.6,12463,850,13313,6.4,59.9,36.7,3.5,22239,605
Carlton,8666,8484,17150,934,61.6,7.9,1.5,20.8,10.6,13.2,7.7,7924,527,8451,6.2,63.7,31.6,4.7,13261,575
Carrington,4238,4252,8490,954,68.2,6.3,2.7,21.1,9.3,19.7,9.0,4231,298,4529,6.6,66.6,27.1,6.3,6803,0
Cartwright,6213,6220,12433,545,44.3,1.5,0.4,6.6,7.0,15.6,13.3,3425,459,3884,11.8,43.5,47.6,9.0,8937,388
Casino,6116,6444,12560,594,47.5,0.7,0.6,5.0,5.2,23.4,12.5,4209,402,4611,8.7,47.4,45.2,7.3,9736,320
Castle Cove,13144,13888,27032,1612,72.0,12.7,3.1,31.0,9.6,8.5,7.0,11959,511,12470,4.1,63.4,32.3,4.3,19654,1000
Castle Hill,4075,4261,8337,1188,67.6,9.7,2.3,24.0,10.8,12.8,8.1,3880,206,4087,5.0,63.2,31.9,4.9,6414,650
Castlereagh,13392,13797,27189,1047,56.2,3.2,1.1,10.5,9.2,24.4,7.9,12193,588,12781,4.6,70.5,24.2,5.3,18124,750
Casula,8214,8607,16821,814,54.5,3.4,1.0,13.1,9.6,17.0,10.3,6595,535,7130,7.5,58.0,35.1,6.9,12297,485
Caves Beach,5875,6120,11995,722,57.5,2.2,1.7,9.8,8.3,26.2,9.3,4619,374,4993,7.5,51.4,43.9,4.7,9710,475
Cecil Hills,3656,3647,7303,976,51.5,2.8,1.0,14.2,9.5,17.1,7.1,3355,202,3557,5.7,63.8,31.7,4.4,5578,550
Cessnock,11918,11526,23444,653,53.1,0.7,0.6,4.7,5.7,25.8,15.5,7790,878,8668,10.1,49.1,44.8,6.1,17637,330
Charlestown,12128,12680,24808,875,61.5,3.5,1.8,15.0,9.4,24.3,7.7,11064,703,11767,6.0,60.7,34.9,4.4,19379,430
Charmhaven,11086,11716,22802,663,52.8,0.9,0.7,5.4,6.9,24.9,14.1,8294,820,9114,9.0,50.3,41.6,8.2,18128,370
Chatswood,13178,13917,27095,1286,72.8,14.4,2.6,30.8,9.3,7.6,8.0,12469,741,13210,5.6,65.2,29.6,5.2,20471,900
Cheltenham,10559,11243,21802,1336,71.8,13.8,3.3,28.0,9.9,9.9,6.8,10064,501,10565,4.7,63.8,32.2,4.0,16561,738
Cherrybrook,9636,9804,19440,1243,68.9,11.8,3.1,27.0,10.8,10.2,5.9,9350,526,9876,5.3,64.4,33.0,2.6,15336,750
Chester Hill,10265,9927,20192,638,47.6,2.3,0.8,10.0,7.6,14.5,12.4,6395,708,7103,10.0,49.0,45.4,5.7,14505,465
Chifley,13800,12536,26336,1006,64.3,5.9,1.3,14.1,8.4,15.4,19.2,10228,484,10712,4.5,53.4,38.8,7.8,20047,1000
Chippendale,13396,12810,26206,1097,72.4,11.6,2.2,29.6,7.6,7.1,14.3,11695,957,12652,7.6,59.6,28.6,11.8,21229,895
Chipping Norton,10224,10325,20549,972,57.1,4.1,1.1,14.1,9.9,20.6,7.4,8793,470,9263,5.1,63.5,32.5,4.1,14597,580
Chittaway Bay,7694,8068,15762,851,57.5,1.9,1.3,9.0,9.5,27.8,8.0,7245,455,7700,5.9,62.5,33.3,4.2,12316,445
Chullora,719,735,1454,1097,66.5,8.3,1.8,23.6,11.6,10.1,11.9,430,22,452,4.9,63.4,26.6,9.8,713,0
Clarendon,6975,7456,14431,825,56.3,2.7,1.3,9.1,9.1,23.6,10.5,6334,390,6724,5.8,58.9,34.3,6.8,11425,0
Claymore,10394,10623,21017,876,51.4,1.9,0.8,8.0,8.6,23.0,9.0,9479,690,10169,6.8,64.1,30.4,5.5,15863,500
Clontarf,10451,11069,21520,1612,73.3,10.3,3.2,30.2,11.0,10.9,7.9,9916,369,10285,3.6,66.8,28.6,4.6,15391,1448
Clovelly,13478,14695,28173,1562,76.0,12.0,3.1,29.4,9.1,10.8,11.7,14144,547,14691,3.7,69.1,21.9,8.9,21249,1375
Clyde,12132,10632,22764,696,52.1,5.6,0.9,14.9,8.9,11.5,10.4,8282,988,9270,10.7,55.6,37.1,7.3,16664,0
Coalcliff,5899,6055,11954,1156,72.6,10.2,3.8,21.8,10.8,18.4,7.5,5504,255,5759,4.4,64.0,31.4,4.7,9000,0
Cobar,2453,2283,4736,991,54.1,1.5,0.9,6.9,4.8,23.6,16.6,2017,124,2141,5.8,59.1,29.0,11.9,3624,270
Cobbitty,13327,13591,26918,1104,60.0,3.5,1.1,11.8,9.7,23.2,10.7,8913,344,9257,3.7,67.9,24.8,7.4,13639,500
Coffs Harbour,6874,7612,14486,676,59.1,1.9,1.2,10.3,8.7,22.4,14.4,5411,436,5847,7.4,50.6,39.3,10.0,11470,450
Collaroy,12977,13476,26453,1204,68.6,5.0,2.2,19.1,11.7,19.5,11.2,12707,386,13093,2.9,64.3,29.1,6.6,20366,1100
Colo,1435,1355,2790,843,67.3,3.4,1.7,9.5,8.7,25.6,18.1,1214,69,1283,5.4,57.2,28.6,14.0,2243,0
Colo Vale,3187,3187,6374,851,57.3,1.7,1.4,7.3,8.9,29.5,8.6,2906,131,3037,4.3,65.0,29.8,5.2,4674,440
