"MEASURE","Selected Medians and Averages","STATE","State","REGIONTYPE","Region Type","REGION","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","101031016","Jindabyne - Berridale","A","Annual","2011","2011",37,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","101041017","Batemans Bay","A","Annual","2011","2011",48,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","101041018","Batemans Bay - South","A","Annual","2011","2011",50,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","101041019","Bega - Tathra","A","Annual","2011","2011",44,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","101041020","Bega-Eden Hinterland","A","Annual","2011","2011",46,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","101041021","Broulee - Tomakin","A","Annual","2011","2011",49,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","101041022","Deua - Wadbilliga","A","Annual","2011","2011",47,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","101041023","Eden","A","Annual","2011","2011",47,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","101041024","Eurobodalla Hinterland","A","Annual","2011","2011",48,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","101041025","Merimbula - Tura Beach","A","Annual","2011","2011",51,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","101041026","Moruya - Tuross Head","A","Annual","2011","2011",50,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","101041027","Narooma - Bermagui","A","Annual","2011","2011",54,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","102011028","Avoca Beach - Copacabana","A","Annual","2011","2011",40,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","102011029","Box Head - MacMasters Beach","A","Annual","2011","2011",46,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","102011030","Calga - Kulnura","A","Annual","2011","2011",42,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","102011031","Erina - Green Point","A","Annual","2011","2011",47,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","102011032","Gosford - Springfield","A","Annual","2011","2011",39,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","102011033","Kariong","A","Annual","2011","2011",33,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","102011034","Kincumber - Picketts Valley","A","Annual","2011","2011",45,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","102011035","Narara","A","Annual","2011","2011",37,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","102011036","Niagara Park - Lisarow","A","Annual","2011","2011",36,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","102011037","Point Clare - Koolewong","A","Annual","2011","2011",44,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","102011038","Saratoga - Davistown","A","Annual","2011","2011",42,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","102011039","Terrigal - North Avoca","A","Annual","2011","2011",41,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","102011040","Umina - Booker Bay - Patonga","A","Annual","2011","2011",44,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","102011041","Wamberal - Forresters Beach","A","Annual","2011","2011",38,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","102011042","Woy Woy - Blackwall","A","Annual","2011","2011",46,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","102011043","Wyoming","A","Annual","2011","2011",41,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","102021044","Bateau Bay - Killarney Vale","A","Annual","2011","2011",41,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","102021045","Blue Haven - San Remo","A","Annual","2011","2011",32,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","102021046","Budgewoi - Buff Point - Halekulani","A","Annual","2011","2011",44,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","102021047","Chittaway Bay - Tumbi Umbi","A","Annual","2011","2011",38,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","102021048","Gorokan - Kanwal - Charmhaven","A","Annual","2011","2011",41,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","102021049","Jilliby - Yarramalong","A","Annual","2011","2011",42,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","102021050","Lake Munmorah - Mannering Park","A","Annual","2011","2011",45,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","102021051","Ourimbah - Fountaindale","A","Annual","2011","2011",37,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","102021052","Summerland Point - Gwandalan","A","Annual","2011","2011",43,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","102021053","The Entrance","A","Annual","2011","2011",42,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","102021054","Toukley - Norah Head","A","Annual","2011","2011",47,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","102021055","Tuggerah - Kangy Angy","A","Annual","2011","2011",36,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","102021056","Warnervale - Wadalba","A","Annual","2011","2011",35,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","102021057","Wyong","A","Annual","2011","2011",39,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","103011058","Bathurst","A","Annual","2011","2011",34,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","103011059","Bathurst - East","A","Annual","2011","2011",35,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","103011060","Bathurst Region","A","Annual","2011","2011",43,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","103011061","Oberon","A","Annual","2011","2011",41,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","103021062","Condobolin","A","Annual","2011","2011",41,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","103021063","Cowra","A","Annual","2011","2011",44,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","103021064","Cowra Region","A","Annual","2011","2011",46,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","103021065","Forbes","A","Annual","2011","2011",42,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","103021066","Grenfell","A","Annual","2011","2011",47,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","103021067","Parkes (NSW)","A","Annual","2011","2011",38,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","103021068","Parkes Region","A","Annual","2011","2011",44,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","103021069","West Wyalong","A","Annual","2011","2011",41,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","103031070","Lithgow","A","Annual","2011","2011",42,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","103031071","Lithgow Region","A","Annual","2011","2011",43,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","103031072","Mudgee","A","Annual","2011","2011",38,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","103031073","Mudgee Region - East","A","Annual","2011","2011",47,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","103031074","Mudgee Region - West","A","Annual","2011","2011",44,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","103031075","Wollangambe - Wollemi","A","Annual","2011","2011",0,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","103041076","Blayney","A","Annual","2011","2011",40,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","103041077","Orange","A","Annual","2011","2011",38,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","103041078","Orange - North","A","Annual","2011","2011",33,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","103041079","Orange Region","A","Annual","2011","2011",41,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","104011080","Grafton","A","Annual","2011","2011",41,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","104011081","Grafton Region","A","Annual","2011","2011",45,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","104011082","Maclean - Yamba - Iluka","A","Annual","2011","2011",51,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","104021083","Bellingen","A","Annual","2011","2011",42,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","104021084","Coffs Harbour - North","A","Annual","2011","2011",41,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","104021085","Coffs Harbour - South","A","Annual","2011","2011",43,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","104021086","Coramba - Nana Glen - Bucca","A","Annual","2011","2011",42,,
"MAGE","Median age of persons","1","New South Wales","SA2","Statistical Area Level 2","104021087","Dorrigo","A","Annual","2011","2011",47,,
